TweetID,tweet
1.50111E+18,"Memang rekayasa betul pandemi Corona selama ini , kita kudu waspada Amerika mau kembangkan vaksin Moderna ber juta""dosis, katanya untuk stok persiapan  kedepan pdhl blm tentu dtng virusnya , hati"" cepat atau lambat nanti akan ada pandemi baru yg sdh di rencana dari saat ini . https://t.co/uN7LMEYDMC"
1.50049E+18,"@kaanarizkiyp @yanadheem Dari artikel yg aku baca katanya efeknya lebih mantep dr yg sarcov vaksin. Tapi itu tergantung sm kekebalan tubuh kita. Moderna, pfizer juga lebih bikin kita lebih kebal sih sm corona. Jadi pas gelombang badai ke4 ini ga sebanyak th lalu. Cemungut"
1.50008E+18,"Persyaratan masuk ke Jerman: menunjukkan bukti vaksinasi Covid-19, bukti telah sembuh dari Covid-19 ATAU bukti tes antigen atau PCR dengan hasil negatif.

Vaksin yang berlaku di Jerman ialah AstraZeneca,BionTech/Pfizer, Moderna, Johnson &amp;Johnson."
1.4997E+18,"Info Vaksin Covid-19 Booster di RSUD Lawang Kabupaten Malang, Dosis Moderna Pfizer, Setiap Hari Senin-Jumat https://t.co/LGj5F4eUnn"
1.49932E+18,"Bingungnya rakyat karena tak ada keterangan Pasti &amp; jelas dr Penguasa ttg Efek samping dr Obat Covid19 utk vsksinasi spt: Pfizer, Sinovak, Moderna, dll.hingga berakibat kematian bg rakyat stelah disuntik vaksin. Ayo coba renungkan !.. https://t.co/3Y0W6AJl94"
1.49928E+18,Membandingkan Pfizer dan Moderna sebagai Vaksin Booster Covid-19 dan Keampuhan Lawan Omicron https://t.co/s2Ii0uahKh https://t.co/HsjTHxjenq
1.49849E+18,"Pemerintahan Jokowi resmi menambahkan regimen vaksin lanjutan atau booster Covid-19, yakni vaksin Sinopharm. Jadi ada enam jenis vaksin booster yang digunakan di Indonesia yaitu vaksin Sinovac, AstraZeneca, Pfizer, Moderna, Janssen (J&amp;J) dan Sinopharm.
https://t.co/laOEXyQcNJ"
1.49848E+18,@RaniKancana__ aku baca di kumparan indonesia dpt transfer teknologi mRNA utk memecahkan virus covid-19. ini teknologi yg sama yg dipakai moderna utk mencari vaksin HIV yg skrg skrg baru aja lolos uji klinis tahap 1. kita pada nungguin kabar baik ini biar sembuh total mba rani 🤩🤘🏿
1.49848E+18,"Sepertinya vaksin COVID-19 Pfizer dan Moderna untuk booster udah pada keabisan yah ini, banyak Puskesmas &amp; RS di Jkt cuma sediain AZ buat booster nih 🤔"
1.49844E+18,"Kemenkes RI akhirnya memaasukkan vaksin Sinopharm dalam daftar vaksin booster Covid-19. Ke 6 vaksin itu adala:
- Sinovac
- Astra Zaneca
- Pfizer
- Moderna
- Janssen (J&amp;J) 
- Sinopharm

@jokowi Lawan Pandemi

https://t.co/8Gy8T9b6to"
1.49826E+18,Yea I got covid-19 walau sdh vaksin booster moderna✅ tp alhamdulillah mungkin karna sudah vaksin gejalaku ringan https://t.co/nfCCaem9LN
1.49822E+18,"#Efektivitas Vaksin Covid-19 Turun Usai 6 Bulan, Perlindungan Terbaik Ditawarkan Moderna - Republika Online #Covid #Covid19 https://t.co/cvmIbYsMU4"
1.49787E+18,Sulitnya mencari vaksin booster yang masih menggunakan vaksin #Pfizer atau #Moderna di Tangerang atau Jakarta sekarang ini 😥 #VaksinBooster #covid19
1.49764E+18,"Dugaan bahwa virus covid 19 bukan virus alami melainkan virus yg dibuat d lab semakin menguat, ketika ditemukan bukti kemiripan materian genetik dengan yg sudah dipatenkan oleh perusahaan vaksin moderna 3 tahun sebelum pandemi dimulai.

https://t.co/zmdNJ8m64F"
1.4976E+18,"@1Nusantara_ @dr_koko28 sy jg nih. pagi booster, malem drop sampe seminggu. dpt moderna 1 dosis. tp abis itu alhamdulillaah sehat. ya memang wajar sih.. namanya tubuh lg memperkuat antibodinya abis divaksin. bayi jg gitu klo abis vaksin. rewel. kena covid abis booster ? prokesnya gmn ? 😁"
1.49745E+18,Pfizer Inc. dan #Moderna Inc. sejauh ini telah melaporkan setidaknya $79 miliar dalam penjualan global gabungan vaksin dan perawatan Covid-19 untuk tahun 2021.
1.49722E+18,"India Mengembangkan Vaksin Covid-19 mRNA Baru, Disebut Lebih Murah dari Pfizer dan Moderna https://t.co/Ri295YHvpD"
1.4972E+18,"Gue literally vaksin 2x moderna, jarang keluar, clean freak aja masi kena covid yall better take care of yourself more"
1.49719E+18,info 2nd dose vaksin covid-19 moderna dong di daerah depok..
1.49678E+18,Nakes di Surabaya Beberkan Efek Samping Vaksin Booster Covid-19 Moderna: Sangat Dahsyat dan Tak Terduga https://t.co/0JnnRAEPrZ
1.49677E+18,#CDC: Interval Pemberian Dosis 1 dan 2 Vaksin Covid-19 Pfizer-Moderna 8 Bulan - Republika Online #Covid #Covid19 https://t.co/C2hVIdUNJM
1.49675E+18,Saran CDC soal pemberian vaksin Covid-19 Pfizer-Moderna tak berlaku buat semua orang. https://t.co/4nWj2UkNjA
1.49663E+18,"Stlah 1 bulan bsa mlewati covid walaupun kerja di area pasien covid gua mkin tkjub sma imun gua yg kebalnya luar biasa ini,ni krena jaman muda ska sakit2 trus pas tua jdi kebal apa ya gua ma virus wkwk bhkan smua vaksin yg gua coba dri sinovac,moderna,n pfizer jg gk da rsa ,gila2"
1.49648E+18,info 2nd dose vaksin covid-19 moderna dong di daerah depok 🙏
1.4964E+18,"@Ririin728 Inisiatif e dokter ku mb, krn ada sisa permintaan vaksin

Dan udah kelewat 6bulan jg dr vaksin ku sblomnya, jd dikasih deh

Kbetulan kmren aku 1&amp;2 Sinovac, 3 Moderna, jd 4 nya boleh Aztra

Kprluan dlm rangka ngerawat pasien covid ae.. hehehe"
1.49614E+18,"@RanduWatangan @yogapuskarani @ProfesorZubairi Itu dua2 nya alumni Covid 19 alpa tanpa gejala. 
Dua2 nya diisolasi di rs.
Anaknya malah 2 minggu lebih ga negatif walau ga bergejala.
Trus bapaknya vaksin akhir tahun pakai moderna.
Anaknya ga vaksin. 
Iya, vaksin n survivor bikin virus ga sampai paru2. 
Rontgen segala soalnya."
1.49609E+18,"Moderna itu baru pertama kali buat vaksin, ya utk covid ini. Resiko jangka panjanh blum diketahui, atau disembunyikan? Time will tell truth. https://t.co/0THfnYPXTd"
1.49605E+18,"@noirjayke Kata mama aku, kode genetik yg ada di dalam kandungan moderna untuk imun tubuh pencegah virus covid bisa 95% sama, lebih tinggi dari vaksin yg lain.  Efek nya itu ntar kerasa kalau misalnya kamu kena covid/omicron gejala nya bakalan ringan, dan menurunkan tingkat kematian."
1.4957E+18,"Wargi Bandung, ayo lengkapi vaksin Covid-19 mu. Telah dibuka kembali vaksinasi dosis 2 Moderna di Puskesmas Cilengkrang. Silakan daftar di link tertera. Salam sehat! @ahyaniR13 @humasbandung_ @DiskominfoBdg @PRFMnews @infobandung https://t.co/CpeTeGG3hM"
1.4956E+18,10 Efek Samping Vaksinasi Covid-19 Booster dengan Vaksin Moderna https://t.co/GD1MR9X9ml #TempoGaya
1.49559E+18,"Risiko rawat inap di rumah sakit karena Covid-19 pada bayi berusia hingga enam bulan, 61 persen lebih rendah jika sang ibu menerima dosis lengkap vaksin Pfizer atau Moderna di saat kehamilannya. #TempoTekno https://t.co/iSFskABbKr"
1.49485E+18,"Ada Kabar Baik dari Bos Vaksin Moderna, Covid Menuju Endgame? https://t.co/J3PFU5WfrH"
1.49485E+18,"Ada Kabar Baik dari Bos Vaksin Moderna, Covid Menuju Endgame? https://t.co/nObbcryIt1"
1.49447E+18,"https://t.co/Wco2F5xOkC
Pembuat vaksin mendapatkan berkah dari bisnis vaksin COVID-19, salah satunya Moderna yang akan buka cabang di Asia Pasifik"
1.49435E+18,"Babinsa Koramil 09/Kutowinangun Serda Agus dan Serda Eko monitoring vaksin Covid 19 Dosis 1,2 dan 3 jenis Vaksin yakni Sinovac, Aztrazeneca, Moderna dan Pfizer untuk anak SD usia 6 hingga 11 tahun, sementara untuk Umum dan Lansia di gelar di Gerai Puskesmas Kec. Kutowinangun. https://t.co/XLC9dSb1kR"
1.49434E+18,"Vaksin 1-2, booster moderna udah dari tahun lalu, batuk dikit eee… covid, eeq!"
1.49421E+18,"thanks fastlab! hari ini booster di fastlab, ada moderna dan pfizer. sepi banget engga antri sm sekali.

syarat, hrs ada tiket vaksin ke-3 dan antigen negative (bs antigen on the spot) krn banyak kasus di vaksin saat kondisi positive covid."
1.49421E+18,"@Ndoro68295960 @bdleonanda Ini juga ente gak lihat keseluruhan cuitannya. Padahal substansinya selaras dengan hasil studi.

Ini gw tambahin hasil studi yg lainnya.

Peningkatan sementara RNA HIV plasma setelah vaksinasi COVID-19 dengan mRNA-1272 (Moderna Biotech).

https://t.co/bb7Pflz4hf"
1.4942E+18,"Data terbaru dari Israel tentang suntikan vaksin covid mRNA dosis ke 4 

Reaksi merugikan kesehatan :
Pfizer  80%
Moderna  40% 

Namun di negeri Konoha bisa disalahartikan berbagai macam alasan 🤡 #DoNotComply
https://t.co/iTP3ZKf4u4"
1.49419E+18,Kabar Vaksin Covid-19 Moderna untul Lawan Omicron https://t.co/R0qyNIMJS4 via @tribunjogja
1.49406E+18,"@Ariefmantoi @hidsyah @FuzaFirdaus Oh really??? Erdogan booster pake pfizer lho wkwkwk.. malah dia yg promosikan, dengan vaksin kesembuhan covid yg dia alam jadi cepat.. dan rakyatnya pun juga banyak yg pake pfizer &amp;moderna https://t.co/Wwyq4CLR3f"
1.49396E+18,"Tadi swab antigen sama dokter. Terus ngobrol masalah penempatan di site. Dan pada titik bahas covid.
🧔: Udah vaksin booster
🧑: Udah dok.
🧔: Apa vaksinnya?
Baru narik nafas mau jawab
🧔: Sinovac, sinovac, moderna ya?
🧑: Iya dok

Dlm hati ngebatin: dokternya cpt bgt ngomongnya"
1.49384E+18,"Babinsa DS Jeruk Sertu Sumanto melaksanakan kegiatan Pendampingan Tim Dari Puskesmas Miri yang diketuai oleh Dr.Eny Suramto, dalam rangka Percepatan Vaksin Covid 19 Dosis 3 Jenis obat moderna kepada warga Desa Jeruk bertempat di Balai Desa Jeruk Kec.Miri Kab.Sragen https://t.co/UB9iMKZZtK"
1.49381E+18,"@kumparan flu biasa kok,kami sekeluarga kena covid kayak nya minggu lalu,berawal dr anak pulang sekolah usia 11 thn,panas,flu,kami tertular dan sy kehilangan penciuman,4 hari,beraktifitas seperti biasa minum obat flu,sembuh kok.jd di bawa rilek aja.kami sdh vaksin moderna,anak blm"
1.49371E+18,"@dioritadyah @dpratamaaji Mashaallah beruntung sudah booster Moderna.
Vaksinasi 1 &amp; 2 pakai vaksin merk apa? Gejala covid yg dialami saat ini apa aja?"
1.49354E+18,"#Perbandingan Efektivitas Vaksin Booster Pfizer, AstraZeneca, dan Moderna untuk Tangkal Virus Corona - Tribun Kaltim #Corona #Korona #VirusCorona https://t.co/LYpaEkSaw1"
1.49351E+18,"@KemenkesRI Saya dapat vaksin dan booster saya di Jerman. Di jerman kalau udah pernah kena covid, orang cuman butuh satu dosis vaksin bukan dua. Saya pernah kena covid di Desember 2020, jadi saya cuman perlu dapat satu dosis vaksin moderna di bulan juni 2021"
1.4928E+18,"Vaksin lengkap, udah booster (Moderna pula), ga bakal meloloskan kamu dr kejaran SARS-Cov2. Krn kena covid saat ini adalah sebuah keniscayaan, kata @dpratamaaji 
I'm in 2nd day of isolation. For everyone who may be close contacted with me, please do aware with your symptoms. https://t.co/E9msi9DNKK"
1.49279E+18,"CEO Moderna Inc (Perusahaan Alat Kesehatan / Vaksin Covid-19)
Menghilang dan Menjual lebih dari 400.000.000$ dan 20.000.000$ dalam 1 bulan terakhir ini. 

https://t.co/GpyXO5BHDs"
1.49275E+18,"#Moderna Kembangkan Vaksin Virus Corona Covid-19 Baru, Rencana Akan Dirilis 2023 - Tribun Palu #Corona #Korona #VirusCorona https://t.co/wu9w1HuqAV"
